stockCode,stockName,sector,sectorCount,date
300529,健帆生物,医药生物,492,2023-08-20
301363,美好医疗,医药生物,492,2023-08-20
301367,怡和嘉业,医药生物,492,2023-08-20
688177,百奥泰,医药生物,492,2023-08-20
688176,亚虹医药,医药生物,492,2023-08-20
301267,华厦眼科,医药生物,492,2023-08-20
301263,泰恩康,医药生物,492,2023-08-20
300244,迪安诊断,医药生物,492,2023-08-20
1367,海森药业,医药生物,492,2023-08-20
300246,宝莱特,医药生物,492,2023-08-20
300147,香雪制药,医药生物,492,2023-08-20
300149,睿智医药,医药生物,492,2023-08-20
300143,盈康生命,医药生物,492,2023-08-20
300142,沃森生物,医药生物,492,2023-08-20
200028,一致Ｂ,医药生物,492,2023-08-20
300519,新光药业,医药生物,492,2023-08-20
688026,洁特生物,医药生物,492,2023-08-20
688029,南微医学,医药生物,492,2023-08-20
300653,正海生物,医药生物,492,2023-08-20
688166,博瑞医药,医药生物,492,2023-08-20
688163,赛伦生物,医药生物,492,2023-08-20
688161,威高骨科,医药生物,492,2023-08-20
301277,新天地,医药生物,492,2023-08-20
300233,金城医药,医药生物,492,2023-08-20
300239,东宝生物,医药生物,492,2023-08-20
300238,冠昊生物,医药生物,492,2023-08-20
301370,国科恒泰,医药生物,492,2023-08-20
300642,透景生命,医药生物,492,2023-08-20
688298,东方生物,医药生物,492,2023-08-20
603087,甘李药业,医药生物,492,2023-08-20
603998,方盛制药,医药生物,492,2023-08-20
688013,天臣医疗,医药生物,492,2023-08-20
688016,心脉医疗,医药生物,492,2023-08-20
688293,奥浦迈,医药生物,492,2023-08-20
688193,仁度生物,医药生物,492,2023-08-20
688192,迪哲医药,医药生物,492,2023-08-20
688197,首药控股,医药生物,492,2023-08-20
688198,佰仁医疗,医药生物,492,2023-08-20
301246,宏源药业,医药生物,492,2023-08-20
300267,尔康制药,医药生物,492,2023-08-20
605369,拱东医疗,医药生物,492,2023-08-20
300937,药易购,医药生物,492,2023-08-20
301103,何氏眼科,医药生物,492,2023-08-20
300122,智飞生物,医药生物,492,2023-08-20
300633,开立医疗,医药生物,492,2023-08-20
300630,普利制药,医药生物,492,2023-08-20
300396,迪瑞医疗,医药生物,492,2023-08-20
600085,同仁堂,医药生物,492,2023-08-20
688180,君实生物,医药生物,492,2023-08-20
