stockCode,stockName,sector,sectorCount,date
600126,杭钢股份,国资云概念,16,2023-08-20
977,浪潮信息,国资云概念,16,2023-08-20
603881,数据港,国资云概念,16,2023-08-20
32,深桑达Ａ,国资云概念,16,2023-08-20
600602,云赛智联,国资云概念,16,2023-08-20
300579,数字认证,国资云概念,16,2023-08-20
300212,易华录,国资云概念,16,2023-08-20
70,特发信息,国资云概念,16,2023-08-20
2152,广电运通,国资云概念,16,2023-08-20
600756,浪潮软件,国资云概念,16,2023-08-20
300188,美亚柏科,国资云概念,16,2023-08-20
815,美利云,国资云概念,16,2023-08-20
300895,铜牛信息,国资云概念,16,2023-08-20
158,常山北明,国资云概念,16,2023-08-20
600225,卓朗科技,国资云概念,16,2023-08-20
2368,太极股份,国资云概念,16,2023-08-20
