stockCode,stockName,sector,sectorCount,date
2269,美邦服饰,抖音小店,20,2023-08-20
2277,友阿股份,抖音小店,20,2023-08-20
600400,红豆股份,抖音小店,20,2023-08-20
300005,探路者,抖音小店,20,2023-08-20
603825,华扬联众,抖音小店,20,2023-08-20
688365,光云科技,抖音小店,20,2023-08-20
600300,维维股份,抖音小店,20,2023-08-20
2124,天邦食品,抖音小店,20,2023-08-20
300908,仲景食品,抖音小店,20,2023-08-20
2024,ST易购,抖音小店,20,2023-08-20
300382,斯莱克,抖音小店,20,2023-08-20
2515,金字火腿,抖音小店,20,2023-08-20
603608,天创时尚,抖音小店,20,2023-08-20
2803,吉宏股份,抖音小店,20,2023-08-20
600398,海澜之家,抖音小店,20,2023-08-20
2995,天地在线,抖音小店,20,2023-08-20
3010,若羽臣,抖音小店,20,2023-08-20
603600,永艺股份,抖音小店,20,2023-08-20
564,ST大集,抖音小店,20,2023-08-20
603719,良品铺子,抖音小店,20,2023-08-20
