stockCode,stockName,sector,sectorCount,date
300660,江苏雷利,物联网,341,2023-08-20
688175,高凌信息,物联网,341,2023-08-20
300667,必创科技,物联网,341,2023-08-20
600487,亨通光电,物联网,341,2023-08-20
2465,海格通信,物联网,341,2023-08-20
2467,二六三,物联网,341,2023-08-20
300523,辰安科技,物联网,341,2023-08-20
601360,三六零,物联网,341,2023-08-20
600481,双良节能,物联网,341,2023-08-20
300248,新开普,物联网,341,2023-08-20
2079,苏州固锝,物联网,341,2023-08-20
300249,依米康,物联网,341,2023-08-20
2925,盈趣科技,物联网,341,2023-08-20
300650,太龙股份,物联网,341,2023-08-20
2331,皖通科技,物联网,341,2023-08-20
300130,新国都,物联网,341,2023-08-20
2334,英威腾,物联网,341,2023-08-20
300515,三德科技,物联网,341,2023-08-20
688450,光格科技,物联网,341,2023-08-20
300513,恒实科技,物联网,341,2023-08-20
300514,友讯达,物联网,341,2023-08-20
2639,雪人股份,物联网,341,2023-08-20
2339,积成电子,物联网,341,2023-08-20
300510,金冠股份,物联网,341,2023-08-20
2474,榕基软件,物联网,341,2023-08-20
688160,步科股份,物联网,341,2023-08-20
832149,利尔达,物联网,341,2023-08-20
601799,星宇股份,物联网,341,2023-08-20
300137,先河环保,物联网,341,2023-08-20
603220,中贝通信,物联网,341,2023-08-20
688023,安恒信息,物联网,341,2023-08-20
2937,兴瑞科技,物联网,341,2023-08-20
300131,英唐智控,物联网,341,2023-08-20
688296,和达科技,物联网,341,2023-08-20
688018,乐鑫科技,物联网,341,2023-08-20
2446,盛路通信,物联网,341,2023-08-20
301503,智迪科技,物联网,341,2023-08-20
300643,万通智控,物联网,341,2023-08-20
688528,秦川物联,物联网,341,2023-08-20
688191,智洋创新,物联网,341,2023-08-20
2052,ST同洲,物联网,341,2023-08-20
688521,芯原股份,物联网,341,2023-08-20
2441,众业达,物联网,341,2023-08-20
300645,正元智慧,物联网,341,2023-08-20
603083,剑桥科技,物联网,341,2023-08-20
605365,立达信,物联网,341,2023-08-20
300931,通用电梯,物联网,341,2023-08-20
301382,蜂助手,物联网,341,2023-08-20
688286,敏芯股份,物联网,341,2023-08-20
831856,浩淼科技,物联网,341,2023-08-20
301396,宏景科技,物联网,341,2023-08-20
601138,工业富联,物联网,341,2023-08-20
300250,初灵信息,物联网,341,2023-08-20
300638,广和通,物联网,341,2023-08-20
300531,优博讯,物联网,341,2023-08-20
300259,新天科技,物联网,341,2023-08-20
2609,捷顺科技,物联网,341,2023-08-20
872374,云里物里,物联网,341,2023-08-20
605358,立昂微,物联网,341,2023-08-20
300252,金信诺,物联网,341,2023-08-20
300112,万讯自控,物联网,341,2023-08-20
603700,宁水集团,物联网,341,2023-08-20
688671,碧兴物联,物联网,341,2023-08-20
2957,科瑞技术,物联网,341,2023-08-20
688475,萤石网络,物联网,341,2023-08-20
2955,鸿合科技,物联网,341,2023-08-20
2047,宝鹰股份,物联网,341,2023-08-20
2953,日丰股份,物联网,341,2023-08-20
2421,达实智能,物联网,341,2023-08-20
300565,科信技术,物联网,341,2023-08-20
301428,世纪恒通,物联网,341,2023-08-20
