stockCode,stockName,sector,sectorCount,date
688486,龙迅股份,社保重仓,41,2023-08-20
605123,派克新材,社保重仓,41,2023-08-20
600057,厦门象屿,社保重仓,41,2023-08-20
601128,常熟银行,社保重仓,41,2023-08-20
603155,新亚强,社保重仓,41,2023-08-20
688667,菱电电控,社保重仓,41,2023-08-20
688190,云路股份,社保重仓,41,2023-08-20
2149,西部材料,社保重仓,41,2023-08-20
301221,光庭信息,社保重仓,41,2023-08-20
600988,赤峰黄金,社保重仓,41,2023-08-20
688687,凯因科技,社保重仓,41,2023-08-20
301165,锐捷网络,社保重仓,41,2023-08-20
2791,坚朗五金,社保重仓,41,2023-08-20
2402,和而泰,社保重仓,41,2023-08-20
2301,齐心集团,社保重仓,41,2023-08-20
600419,天润乳业,社保重仓,41,2023-08-20
301080,百普赛斯,社保重仓,41,2023-08-20
688084,晶品特装,社保重仓,41,2023-08-20
688231,隆达股份,社保重仓,41,2023-08-20
600389,江山股份,社保重仓,41,2023-08-20
2572,索菲亚,社保重仓,41,2023-08-20
605133,嵘泰股份,社保重仓,41,2023-08-20
688518,联赢激光,社保重仓,41,2023-08-20
2039,黔源电力,社保重仓,41,2023-08-20
300979,华利集团,社保重仓,41,2023-08-20
2884,凌霄泵业,社保重仓,41,2023-08-20
300630,普利制药,社保重仓,41,2023-08-20
300395,菲利华,社保重仓,41,2023-08-20
2430,杭氧股份,社保重仓,41,2023-08-20
600323,瀚蓝环境,社保重仓,41,2023-08-20
603163,圣晖集成,社保重仓,41,2023-08-20
688378,奥来德,社保重仓,41,2023-08-20
688205,德科立,社保重仓,41,2023-08-20
300638,广和通,社保重仓,41,2023-08-20
605337,李子园,社保重仓,41,2023-08-20
2438,江苏神通,社保重仓,41,2023-08-20
300357,我武生物,社保重仓,41,2023-08-20
688269,凯立新材,社保重仓,41,2023-08-20
301097,天益医疗,社保重仓,41,2023-08-20
688356,键凯科技,社保重仓,41,2023-08-20
2832,比音勒芬,社保重仓,41,2023-08-20
