stockCode,stockName,sector,sectorCount,date
2243,力合科创,裸眼3D,23,2023-08-20
2449,国星光电,裸眼3D,23,2023-08-20
688039,当虹科技,裸眼3D,23,2023-08-20
300389,艾比森,裸眼3D,23,2023-08-20
603466,风语筑,裸眼3D,23,2023-08-20
727,冠捷科技,裸眼3D,23,2023-08-20
823,超声电子,裸眼3D,23,2023-08-20
603081,大丰实业,裸眼3D,23,2023-08-20
300162,雷曼光电,裸眼3D,23,2023-08-20
50,深天马Ａ,裸眼3D,23,2023-08-20
300331,苏大维格,裸眼3D,23,2023-08-20
300256,ST星星,裸眼3D,23,2023-08-20
300269,联建光电,裸眼3D,23,2023-08-20
300264,佳创视讯,裸眼3D,23,2023-08-20
300500,启迪设计,裸眼3D,23,2023-08-20
2587,奥拓电子,裸眼3D,23,2023-08-20
605218,伟时电子,裸眼3D,23,2023-08-20
301313,凡拓数创,裸眼3D,23,2023-08-20
725,京东方Ａ,裸眼3D,23,2023-08-20
2669,康达新材,裸眼3D,23,2023-08-20
301102,兆讯传媒,裸眼3D,23,2023-08-20
300296,利亚德,裸眼3D,23,2023-08-20
600203,福日电子,裸眼3D,23,2023-08-20
