stockCode,stockName,sector,sectorCount,date
601868,中国能建,证金持股,246,2023-08-20
2724,海洋王,证金持股,246,2023-08-20
2073,软控股份,证金持股,246,2023-08-20
2466,天齐锂业,证金持股,246,2023-08-20
600489,中金黄金,证金持股,246,2023-08-20
600284,浦东建设,证金持股,246,2023-08-20
2462,嘉事堂,证金持股,246,2023-08-20
601166,兴业银行,证金持股,246,2023-08-20
598,兴蓉环境,证金持股,246,2023-08-20
600482,中国动力,证金持股,246,2023-08-20
601668,中国建筑,证金持股,246,2023-08-20
601669,中国电建,证金持股,246,2023-08-20
601666,平煤股份,证金持股,246,2023-08-20
601857,中国石油,证金持股,246,2023-08-20
2736,国信证券,证金持股,246,2023-08-20
2475,立讯精密,证金持股,246,2023-08-20
601998,中信银行,证金持股,246,2023-08-20
601158,重庆水务,证金持股,246,2023-08-20
601155,新城控股,证金持股,246,2023-08-20
601992,金隅集团,证金持股,246,2023-08-20
601066,中信建投,证金持股,246,2023-08-20
1979,招商蛇口,证金持股,246,2023-08-20
2066,瑞泰科技,证金持股,246,2023-08-20
601888,中国中免,证金持股,246,2023-08-20
601989,中国重工,证金持股,246,2023-08-20
601988,中国银行,证金持股,246,2023-08-20
601985,中国核电,证金持股,246,2023-08-20
601788,光大证券,证金持股,246,2023-08-20
2053,云南能投,证金持股,246,2023-08-20
601688,华泰证券,证金持股,246,2023-08-20
601288,农业银行,证金持股,246,2023-08-20
601881,中国银河,证金持股,246,2023-08-20
300396,迪瑞医疗,证金持股,246,2023-08-20
600085,同仁堂,证金持股,246,2023-08-20
601139,深圳燃气,证金持股,246,2023-08-20
601336,新华保险,证金持股,246,2023-08-20
601088,中国神华,证金持股,246,2023-08-20
600639,浦东金桥,证金持股,246,2023-08-20
600637,东方明珠,证金持股,246,2023-08-20
338,潍柴动力,证金持股,246,2023-08-20
600383,金地集团,证金持股,246,2023-08-20
601225,陕西煤业,证金持股,246,2023-08-20
2030,达安基因,证金持股,246,2023-08-20
600636,国新文化,证金持股,246,2023-08-20
333,美的集团,证金持股,246,2023-08-20
600633,浙数文化,证金持股,246,2023-08-20
898,鞍钢股份,证金持股,246,2023-08-20
895,双汇发展,证金持股,246,2023-08-20
600104,上汽集团,证金持股,246,2023-08-20
600208,新湖中宝,证金持股,246,2023-08-20
726,鲁泰Ａ,证金持股,246,2023-08-20
2225,濮耐股份,证金持股,246,2023-08-20
601628,中国人寿,证金持股,246,2023-08-20
997,新大陆,证金持股,246,2023-08-20
601766,中国中车,证金持股,246,2023-08-20
601398,工商银行,证金持股,246,2023-08-20
601117,中国化学,证金持股,246,2023-08-20
600628,新世界,证金持股,246,2023-08-20
600252,中恒集团,证金持股,246,2023-08-20
601390,中国中铁,证金持股,246,2023-08-20
601898,中煤能源,证金持股,246,2023-08-20
601899,紫金矿业,证金持股,246,2023-08-20
728,国元证券,证金持股,246,2023-08-20
601216,君正集团,证金持股,246,2023-08-20
600115,中国东航,证金持股,246,2023-08-20
601211,国泰君安,证金持股,246,2023-08-20
600219,南山铝业,证金持股,246,2023-08-20
600398,海澜之家,证金持股,246,2023-08-20
601111,中国国航,证金持股,246,2023-08-20
2236,大华股份,证金持股,246,2023-08-20
601618,中国中冶,证金持股,246,2023-08-20
883,湖北能源,证金持股,246,2023-08-20
2029,七匹狼,证金持股,246,2023-08-20
600510,黑牡丹,证金持股,246,2023-08-20
600887,伊利股份,证金持股,246,2023-08-20
600886,国投电力,证金持股,246,2023-08-20
2304,洋河股份,证金持股,246,2023-08-20
600261,阳光照明,证金持股,246,2023-08-20
600519,贵州茅台,证金持股,246,2023-08-20
600362,江西铜业,证金持股,246,2023-08-20
61,农产品,证金持股,246,2023-08-20
600787,中储股份,证金持股,246,2023-08-20
63,中兴通讯,证金持股,246,2023-08-20
62,深圳华强,证金持股,246,2023-08-20
69,华侨城Ａ,证金持股,246,2023-08-20
876,新希望,证金持股,246,2023-08-20
600369,西南证券,证金持股,246,2023-08-20
600780,通宝能源,证金持股,246,2023-08-20
600,建投能源,证金持股,246,2023-08-20
2202,金风科技,证金持股,246,2023-08-20
600276,恒瑞医药,证金持股,246,2023-08-20
300498,温氏股份,证金持股,246,2023-08-20
600894,广日股份,证金持股,246,2023-08-20
600271,航天信息,证金持股,246,2023-08-20
600606,绿地控股,证金持股,246,2023-08-20
600895,张江高科,证金持股,246,2023-08-20
600795,国电电力,证金持股,246,2023-08-20
2415,海康威视,证金持股,246,2023-08-20
600600,青岛啤酒,证金持股,246,2023-08-20
709,河钢股份,证金持股,246,2023-08-20
600372,中航电子,证金持股,246,2023-08-20
601633,长城汽车,证金持股,246,2023-08-20
600900,长江电力,证金持股,246,2023-08-20
601231,环旭电子,证金持股,246,2023-08-20
600376,首开股份,证金持股,246,2023-08-20
2008,大族激光,证金持股,246,2023-08-20
601377,兴业证券,证金持股,246,2023-08-20
2007,华兰生物,证金持股,246,2023-08-20
2267,陕天然气,证金持股,246,2023-08-20
625,长安汽车,证金持股,246,2023-08-20
600332,白云山,证金持股,246,2023-08-20
600039,四川路桥,证金持股,246,2023-08-20
300033,同花顺,证金持股,246,2023-08-20
601727,上海电气,证金持股,246,2023-08-20
768,中航西飞,证金持股,246,2023-08-20
858,五粮液,证金持股,246,2023-08-20
600037,歌华有线,证金持股,246,2023-08-20
568,泸州老窖,证金持股,246,2023-08-20
600031,三一重工,证金持股,246,2023-08-20
600674,川投能源,证金持股,246,2023-08-20
2594,比亚迪,证金持股,246,2023-08-20
600030,中信证券,证金持股,246,2023-08-20
600729,重庆百货,证金持股,246,2023-08-20
600863,内蒙华电,证金持股,246,2023-08-20
425,徐工机械,证金持股,246,2023-08-20
100,TCL科技,证金持股,246,2023-08-20
563,陕国投Ａ,证金持股,246,2023-08-20
2277,友阿股份,证金持股,246,2023-08-20
600325,华发股份,证金持股,246,2023-08-20
631,顺发恒业,证金持股,246,2023-08-20
600029,南方航空,证金持股,246,2023-08-20
776,广发证券,证金持股,246,2023-08-20
600028,中国石化,证金持股,246,2023-08-20
600027,华电国际,证金持股,246,2023-08-20
600026,中远海能,证金持股,246,2023-08-20
600660,福耀玻璃,证金持股,246,2023-08-20
600021,上海电力,证金持股,246,2023-08-20
600663,陆家嘴,证金持股,246,2023-08-20
601919,中远海控,证金持股,246,2023-08-20
600874,创业环保,证金持股,246,2023-08-20
2500,山西证券,证金持股,246,2023-08-20
600522,中天科技,证金持股,246,2023-08-20
600736,苏州高新,证金持股,246,2023-08-20
600120,浙江东方,证金持股,246,2023-08-20
601607,上海医药,证金持股,246,2023-08-20
2242,九阳股份,证金持股,246,2023-08-20
973,佛塑科技,证金持股,246,2023-08-20
2241,歌尔股份,证金持股,246,2023-08-20
2246,北化股份,证金持股,246,2023-08-20
2244,滨江集团,证金持股,246,2023-08-20
601600,中国铝业,证金持股,246,2023-08-20
300059,东方财富,证金持股,246,2023-08-20
600015,华夏银行,证金持股,246,2023-08-20
600018,上港集团,证金持股,246,2023-08-20
600017,日照港,证金持股,246,2023-08-20
601601,中国太保,证金持股,246,2023-08-20
2142,宁波银行,证金持股,246,2023-08-20
600019,宝钢股份,证金持股,246,2023-08-20
600657,信达地产,证金持股,246,2023-08-20
600741,华域汽车,证金持股,246,2023-08-20
600743,华远地产,证金持股,246,2023-08-20
601801,皖新传媒,证金持股,246,2023-08-20
600010,包钢股份,证金持股,246,2023-08-20
601800,中国交建,证金持股,246,2023-08-20
601318,中国平安,证金持股,246,2023-08-20
600011,华能国际,证金持股,246,2023-08-20
601901,方正证券,证金持股,246,2023-08-20
541,佛山照明,证金持股,246,2023-08-20
600748,上实发展,证金持股,246,2023-08-20
600557,康缘药业,证金持股,246,2023-08-20
601808,中海油服,证金持股,246,2023-08-20
603328,依顿电子,证金持股,246,2023-08-20
963,华东医药,证金持股,246,2023-08-20
600958,东方证券,证金持股,246,2023-08-20
601000,唐山港,证金持股,246,2023-08-20
31,大悦城,证金持股,246,2023-08-20
603288,海天味业,证金持股,246,2023-08-20
30,富奥股份,证金持股,246,2023-08-20
823,超声电子,证金持股,246,2023-08-20
600009,上海机场,证金持股,246,2023-08-20
2153,石基信息,证金持股,246,2023-08-20
651,格力电器,证金持股,246,2023-08-20
652,泰达股份,证金持股,246,2023-08-20
600750,江中药业,证金持股,246,2023-08-20
600000,浦发银行,证金持股,246,2023-08-20
600642,申能股份,证金持股,246,2023-08-20
601328,交通银行,证金持股,246,2023-08-20
300321,同大股份,证金持股,246,2023-08-20
600757,长江传媒,证金持股,246,2023-08-20
601009,南京银行,证金持股,246,2023-08-20
600547,山东黄金,证金持股,246,2023-08-20
600851,海欣股份,证金持股,246,2023-08-20
601006,大秦铁路,证金持股,246,2023-08-20
2250,联化科技,证金持股,246,2023-08-20
600340,华夏幸福,证金持股,246,2023-08-20
1,平安银行,证金持股,246,2023-08-20
661,长春高新,证金持股,246,2023-08-20
2,万科Ａ,证金持股,246,2023-08-20
600435,北方导航,证金持股,246,2023-08-20
600436,片仔癀,证金持股,246,2023-08-20
600570,恒生电子,证金持股,246,2023-08-20
601012,隆基绿能,证金持股,246,2023-08-20
6,深振业Ａ,证金持股,246,2023-08-20
601010,文峰股份,证金持股,246,2023-08-20
600170,上海建工,证金持股,246,2023-08-20
600578,京能电力,证金持股,246,2023-08-20
600177,雅戈尔,证金持股,246,2023-08-20
601018,宁波港,证金持股,246,2023-08-20
600826,兰生股份,证金持股,246,2023-08-20
2365,永安药业,证金持股,246,2023-08-20
600422,昆药集团,证金持股,246,2023-08-20
600977,中国电影,证金持股,246,2023-08-20
900,现代投资,证金持股,246,2023-08-20
601021,春秋航空,证金持股,246,2023-08-20
601818,光大银行,证金持股,246,2023-08-20
157,中联重科,证金持股,246,2023-08-20
600066,宇通客车,证金持股,246,2023-08-20
600837,海通证券,证金持股,246,2023-08-20
300408,三环集团,证金持股,246,2023-08-20
600064,南京高科,证金持股,246,2023-08-20
538,云南白药,证金持股,246,2023-08-20
600061,国投资本,证金持股,246,2023-08-20
539,粤电力Ａ,证金持股,246,2023-08-20
600694,大商股份,证金持股,246,2023-08-20
685,中山公用,证金持股,246,2023-08-20
600690,海尔智家,证金持股,246,2023-08-20
686,东北证券,证金持股,246,2023-08-20
601186,中国铁建,证金持股,246,2023-08-20
402,金融街,证金持股,246,2023-08-20
166,申万宏源,证金持股,246,2023-08-20
600196,复星医药,证金持股,246,2023-08-20
600705,中航产融,证金持股,246,2023-08-20
600808,马钢股份,证金持股,246,2023-08-20
600056,中国医药,证金持股,246,2023-08-20
600048,保利发展,证金持股,246,2023-08-20
600309,万华化学,证金持股,246,2023-08-20
600999,招商证券,证金持股,246,2023-08-20
600406,国电南瑞,证金持股,246,2023-08-20
600588,用友网络,证金持股,246,2023-08-20
600717,天津港,证金持股,246,2023-08-20
600812,华北制药,证金持股,246,2023-08-20
600585,海螺水泥,证金持股,246,2023-08-20
2294,信立泰,证金持股,246,2023-08-20
417,合肥百货,证金持股,246,2023-08-20
601939,建设银行,证金持股,246,2023-08-20
2396,星网锐捷,证金持股,246,2023-08-20
