stockCode,stockName,sector,sectorCount,date
603039,泛微网络,远程办公,39,2023-08-20
688365,光云科技,远程办公,39,2023-08-20
2467,二六三,远程办公,39,2023-08-20
2301,齐心集团,远程办公,39,2023-08-20
688369,致远互联,远程办公,39,2023-08-20
601360,三六零,远程办公,39,2023-08-20
2123,梦网科技,远程办公,39,2023-08-20
300074,华平股份,远程办公,39,2023-08-20
300162,雷曼光电,远程办公,39,2023-08-20
300051,三五互联,远程办公,39,2023-08-20
300079,数码视讯,远程办公,39,2023-08-20
300605,恒锋信息,远程办公,39,2023-08-20
603660,苏州科达,远程办公,39,2023-08-20
688307,中润光学,远程办公,39,2023-08-20
2841,视源股份,远程办公,39,2023-08-20
300628,亿联网络,远程办公,39,2023-08-20
301318,维海德,远程办公,39,2023-08-20
2261,拓维信息,远程办公,39,2023-08-20
300287,飞利信,远程办公,39,2023-08-20
688111,金山办公,远程办公,39,2023-08-20
1229,魅视科技,远程办公,39,2023-08-20
3007,直真科技,远程办公,39,2023-08-20
688081,兴图新科,远程办公,39,2023-08-20
600804,ST鹏博士,远程办公,39,2023-08-20
2279,久其软件,远程办公,39,2023-08-20
603918,金桥信息,远程办公,39,2023-08-20
300578,会畅通讯,远程办公,39,2023-08-20
300250,初灵信息,远程办公,39,2023-08-20
300081,恒信东方,远程办公,39,2023-08-20
300352,北信源,远程办公,39,2023-08-20
2153,石基信息,远程办公,39,2023-08-20
2474,榕基软件,远程办公,39,2023-08-20
300634,彩讯股份,远程办公,39,2023-08-20
600588,用友网络,远程办公,39,2023-08-20
2587,奥拓电子,远程办公,39,2023-08-20
2995,天地在线,远程办公,39,2023-08-20
2236,大华股份,远程办公,39,2023-08-20
600850,电科数字,远程办公,39,2023-08-20
2230,科大讯飞,远程办公,39,2023-08-20
